Date,Trend Line
2012-10-04,8.498695341623932
2012-10-05,8.54696144302493
2012-10-08,8.595227544425935
2012-10-09,8.64349364582694
2012-10-10,8.691759747227938
2012-10-11,8.740025848628942
2012-10-12,8.788291950029947
2012-10-15,8.836558051430945
2012-10-16,8.88482415283195
2012-10-17,8.933090254232955
2012-10-18,8.981356355633952
2012-10-19,9.029622457034957
2012-10-22,9.077888558435962
2012-10-23,9.12615465983696
2012-10-24,9.174420761237965
2012-10-25,9.22268686263897
2012-10-26,9.270952964039967
2012-10-31,9.319219065440972
2012-11-01,9.367485166841977
2012-11-02,9.415751268242975
2012-11-05,9.46401736964398
2012-11-06,9.512283471044984
2012-11-07,9.560549572445982
2012-11-08,9.608815673846987
2012-11-09,9.657081775247992
2012-11-12,9.70534787664899
2012-11-13,9.753613978049994
2012-11-14,9.801880079451
2012-11-15,9.850146180851997
2012-11-16,9.898412282253002
2012-11-19,9.946678383654
2012-11-20,9.994944485055004
2012-11-21,10.04321058645601
2012-11-23,10.091476687857007
2012-11-26,10.139742789258012
2012-11-27,10.188008890659017
2012-11-28,10.236274992060014
2012-11-29,10.28454109346102
2012-11-30,10.332807194862024
2012-12-03,10.381073296263022
2012-12-04,10.429339397664027
2012-12-05,10.477605499065032
2012-12-06,10.52587160046603
2012-12-07,10.574137701867034
2012-12-10,10.622403803268039
2012-12-11,10.670669904669037
2012-12-12,10.718936006070042
2012-12-13,10.767202107471046
2012-12-14,10.815468208872044
2012-12-17,10.863734310273049
2012-12-18,10.912000411674054
2012-12-19,10.960266513075052
2012-12-20,11.008532614476056
2012-12-21,11.056798715877061
2012-12-24,11.105064817278059
2012-12-26,11.153330918679064
2012-12-27,11.201597020080069
2012-12-28,11.249863121481066
2012-12-31,11.298129222882071
2013-01-02,11.346395324283076
2013-01-03,11.394661425684074
2013-01-04,11.442927527085079
2013-01-07,11.491193628486084
2013-01-08,11.539459729887081
2013-01-09,11.587725831288086
2013-01-10,11.635991932689084
2013-01-11,11.684258034090089
2013-01-14,11.732524135491094
2013-01-15,11.780790236892091
2013-01-16,11.829056338293096
2013-01-17,11.877322439694101
2013-01-18,11.925588541095099
2013-01-22,11.973854642496104
2013-01-23,12.022120743897108
2013-01-24,12.070386845298106
2013-01-25,12.118652946699111
2013-01-28,12.166919048100116
2013-01-29,12.215185149501114
2013-01-30,12.263451250902119
2013-01-31,12.311717352303123
2013-02-01,12.359983453704121
2013-02-04,12.408249555105126
2013-02-05,12.45651565650613
2013-02-06,12.504781757907129
2013-02-07,12.553047859308133
2013-02-08,12.601313960709138
2013-02-11,12.649580062110136
2013-02-12,12.69784616351114
2013-02-13,12.746112264912146
2013-02-14,12.794378366313143
2013-02-15,12.842644467714148
2013-02-19,12.890910569115153
2013-02-20,12.93917667051615
2013-02-21,12.987442771917156
2013-02-22,13.03570887331816
2013-02-25,13.083974974719158
2013-02-26,13.132241076120163
2013-02-27,13.180507177521168
2013-02-28,13.228773278922166
2013-03-01,13.27703938032317
2013-03-04,13.325305481724168
2013-03-05,13.373571583125173
2013-03-06,13.421837684526178
2013-03-07,13.470103785927176
2013-03-08,13.51836988732818
2013-03-11,13.566635988729185
2013-03-12,13.614902090130183
2013-03-13,13.663168191531188
2013-03-14,13.711434292932193
2013-03-15,13.75970039433319
2013-03-18,13.807966495734195
2013-03-19,13.8562325971352
2013-03-20,13.904498698536198
2013-03-21,13.952764799937203
2013-03-22,14.001030901338208
2013-03-25,14.049297002739205
2013-03-26,14.09756310414021
2013-03-27,14.145829205541215
2013-03-28,14.194095306942213
2013-04-01,14.242361408343218
2013-04-02,14.290627509744223
2013-04-03,14.33889361114522
2013-04-04,14.387159712546225
2013-04-05,14.43542581394723
2013-04-08,14.483691915348228
2013-04-09,14.531958016749233
2013-04-10,14.580224118150237
2013-04-11,14.628490219551235
2013-04-12,14.67675632095224
2013-04-15,14.725022422353245
2013-04-16,14.773288523754243
2013-04-17,14.821554625155247
2013-04-18,14.869820726556252
2013-04-19,14.91808682795725
2013-04-22,14.966352929358255
2013-04-23,15.014619030759253
2013-04-24,15.062885132160257
2013-04-25,15.111151233561262
2013-04-26,15.15941733496226
2013-04-29,15.207683436363265
2013-04-30,15.25594953776427
2013-05-01,15.304215639165268
2013-05-02,15.352481740566272
2013-05-03,15.400747841967277
2013-05-06,15.449013943368275
2013-05-07,15.49728004476928
2013-05-08,15.545546146170285
2013-05-09,15.593812247571282
2013-05-10,15.642078348972287
2013-05-13,15.690344450373292
2013-05-14,15.73861055177429
2013-05-15,15.786876653175295
2013-05-16,15.8351427545763
2013-05-17,15.883408855977297
2013-05-20,15.931674957378302
2013-05-21,15.979941058779307
2013-05-22,16.028207160180305
2013-05-23,16.07647326158131
2013-05-24,16.124739362982314
2013-05-28,16.173005464383312
2013-05-29,16.221271565784317
2013-05-30,16.269537667185322
2013-05-31,16.31780376858632
2013-06-03,16.366069869987324
2013-06-04,16.41433597138833
2013-06-05,16.462602072789327
2013-06-06,16.510868174190332
2013-06-07,16.559134275591337
2013-06-10,16.607400376992334
2013-06-11,16.65566647839334
2013-06-12,16.703932579794344
2013-06-13,16.752198681195342
2013-06-14,16.800464782596347
2013-06-17,16.848730883997344
2013-06-18,16.89699698539835
2013-06-19,16.945263086799354
2013-06-20,16.993529188200352
2013-06-21,17.041795289601357
2013-06-24,17.09006139100236
2013-06-25,17.13832749240336
2013-06-26,17.186593593804364
2013-06-27,17.23485969520537
2013-06-28,17.283125796606367
2013-07-01,17.33139189800737
2013-07-02,17.379657999408376
2013-07-03,17.427924100809374
2013-07-05,17.47619020221038
2013-07-08,17.524456303611384
2013-07-09,17.57272240501238
2013-07-10,17.620988506413386
2013-07-11,17.66925460781439
2013-07-12,17.71752070921539
2013-07-15,17.765786810616394
2013-07-16,17.8140529120174
2013-07-17,17.862319013418396
2013-07-18,17.9105851148194
2013-07-19,17.958851216220406
2013-07-22,18.007117317621404
2013-07-23,18.05538341902241
2013-07-24,18.103649520423414
2013-07-25,18.15191562182441
2013-07-26,18.200181723225416
2013-07-29,18.24844782462642
2013-07-30,18.29671392602742
2013-07-31,18.344980027428424
2013-08-01,18.39324612882943
2013-08-02,18.441512230230426
2013-08-05,18.48977833163143
2013-08-06,18.53804443303243
2013-08-07,18.586310534433434
2013-08-08,18.63457663583444
2013-08-09,18.682842737235436
2013-08-12,18.73110883863644
2013-08-13,18.779374940037446
2013-08-14,18.827641041438444
2013-08-15,18.87590714283945
2013-08-16,18.924173244240453
2013-08-19,18.97243934564145
2013-08-20,19.020705447042456
2013-08-21,19.06897154844346
2013-08-22,19.11723764984446
2013-08-23,19.165503751245463
2013-08-26,19.213769852646468
2013-08-27,19.262035954047466
2013-08-28,19.31030205544847
2013-08-29,19.358568156849476
2013-08-30,19.406834258250473
2013-09-03,19.455100359651478
2013-09-04,19.503366461052483
2013-09-05,19.55163256245348
2013-09-06,19.599898663854486
2013-09-09,19.64816476525549
2013-09-10,19.69643086665649
2013-09-11,19.744696968057493
2013-09-12,19.792963069458498
2013-09-13,19.841229170859496
2013-09-16,19.8894952722605
2013-09-17,19.937761373661505
2013-09-18,19.986027475062503
2013-09-19,20.034293576463508
2013-09-20,20.082559677864513
2013-09-23,20.13082577926551
2013-09-24,20.179091880666515
2013-09-25,20.227357982067513
2013-09-26,20.275624083468518
2013-09-27,20.323890184869523
2013-09-30,20.37215628627052
2013-10-01,20.420422387671525
2013-10-02,20.46868848907253
2013-10-03,20.516954590473528
2013-10-04,20.565220691874533
2013-10-07,20.613486793275538
2013-10-08,20.661752894676535
2013-10-09,20.71001899607754
2013-10-10,20.758285097478545
2013-10-11,20.806551198879543
2013-10-14,20.854817300280548
2013-10-15,20.903083401681553
2013-10-16,20.95134950308255
2013-10-17,20.999615604483555
2013-10-18,21.04788170588456
2013-10-21,21.096147807285558
2013-10-22,21.144413908686563
2013-10-23,21.192680010087567
2013-10-24,21.240946111488565
2013-10-25,21.28921221288957
2013-10-28,21.337478314290575
2013-10-29,21.385744415691573
2013-10-30,21.434010517092577
2013-10-31,21.482276618493582
2013-11-01,21.53054271989458
2013-11-04,21.578808821295585
2013-11-05,21.62707492269659
2013-11-06,21.675341024097587
2013-11-07,21.723607125498592
2013-11-08,21.771873226899597
2013-11-11,21.820139328300595
2013-11-12,21.8684054297016
2013-11-13,21.916671531102597
2013-11-14,21.964937632503602
2013-11-15,22.013203733904607
2013-11-18,22.061469835305605
2013-11-19,22.10973593670661
2013-11-20,22.158002038107615
2013-11-21,22.206268139508612
2013-11-22,22.254534240909617
2013-11-25,22.302800342310622
2013-11-26,22.35106644371162
2013-11-27,22.399332545112625
2013-11-29,22.44759864651363
2013-12-02,22.495864747914627
2013-12-03,22.544130849315632
2013-12-04,22.592396950716637
2013-12-05,22.640663052117635
2013-12-06,22.68892915351864
2013-12-09,22.737195254919644
2013-12-10,22.785461356320642
2013-12-11,22.833727457721647
2013-12-12,22.88199355912265
2013-12-13,22.93025966052365
2013-12-16,22.978525761924654
2013-12-17,23.02679186332566
2013-12-18,23.075057964726657
2013-12-19,23.123324066127662
2013-12-20,23.171590167528667
2013-12-23,23.219856268929664
2013-12-24,23.26812237033067
2013-12-26,23.316388471731674
2013-12-27,23.364654573132672
2013-12-30,23.412920674533677
